Key	Type	English	French	German	Spanish	Portuguese	Chinese (Simplified)	Chinese (Traditional)	Russian	Indonesian	Vietnamese	Thai	Japanese	Korean	Arabic
120304	Text	Candlelit Dinner	dîner aux chandelles	Abendessen bei Kerzenlicht	cena con velas	Jantar à Luz de Velas	烛光晚餐	燭光晚餐	Ужин при свечах	makan malam romantis	Bữa tối dưới ánh nến	อาหารเย็นใต้แสงเทียน	ろうそくの明かりの下でとる夕食	촛불 저녁	عشاء على ضوء الشموع
120305	Text	Aquarium	aquarium	Aquarium	acuario	Aquário	水族馆	水族館	аквариум	akuarium	bể nuôi cá	พิพิธภัณฑ์สัตว์น้ำ	水族館	수족관	حوض سمك
120306	Text	Valentine's Day Date	Amoureux	Liebhaber	Amante	Data do Dia dos Namorados	情人节约会	情人節約會	Возлюбленный	Kekasih	Người yêu	คนรัก	愛人	애인	عاشق
120307	Text	Movie Theater	Cinéma	Kino	Cine	Teatro de Cinema	电影院	電影院	Кино	Bioskop	Rạp chiếu phim	โรงหนัง	シネマ	영화	سينما
120401	Text	Dance Class	cours de danse	Tanzklasse	clase de baile	Aula de Dança	舞蹈课	舞蹈課	танцевальный класс	kelas menari	Lớp học khiêu vũ	ชั้นเรียนเต้นรำ	ダンスクラス	춤 수업	فصل الرقص
120402	Text	Backup Dancer Audition	Entretien de danse	Tanzinterview	Entrevista de baile	Audição de Dançarino de Apoio	伴舞面试	伴舞面試	Танцевальное интервью	Wawancara tari	Phỏng vấn khiêu vũ	บทสัมภาษณ์เต้นรำ	ダンスインタビュー	댄스 인터뷰	مقابلة الرقص
120403	Text	Afternoon Tea	Temps de thé de l'après-midi	Nachmittagsteezeit	Tiempo de té de la tarde	Chá da Tarde	下午茶时光	下午茶時光	Время послеобеденного чая	Waktu teh sore	Giờ trà chiều	เวลาน้ำชายามบ่าย	アフタヌーンティータイム	애프터눈 티 타임	وقت الشاي بعد الظهر
120404	Text	Indian Dance	Performance de danse indienne	Indische Tanzperformance	Actuación de danza india	Dança Indiana	印度舞演出	印度舞演出	Индийское танцевальное представление	Pertunjukan tari India	Buổi biểu diễn khiêu vũ Ấn Độ	การแสดงเต้นรำอินเดีย	インドのダンスパフォーマンス	인도 댄스 공연	أداء الرقص الهندي
120405	Text	Interview	Entretien	Interview	Entrevista	Entrevista	接受采访	接受采訪	Интервью	Wawancara	Phỏng vấn	สัมภาษณ์	インタビュー	회견	مقابلة
120406	Text	Dancer Gathering	Danseur	Tänzerparty	Fiesta bailarina	Encontro de Dançarino	舞者聚会	舞者聚會	Танцорная вечеринка	Pesta penari	Bữa tiệc vũ công	ปาร์ตี้นักเต้น	ダンサーパーティー	댄서 파티	حزب راقصة
120407	Text	Opening Ceremony Solo Dance	Danse de la cérémonie d'ouverture	Tanz der Eröffnungszeremonie	Danza de la ceremonia de apertura	Cerimônia de Abertura Dança Solo	开幕式独舞	開幕式獨舞	Танец церемонии открытия	Tarian upacara pembukaan	Điệu nhảy của lễ khai mạc	การเต้นรำของพิธีเปิด	開会式のダンス	개막식의 춤	رقص حفل الافتتاح
120501	Text	HOME!	Rentrer à la maison	Nach Hause zurückkehren	Volver a casa	CASA!	回国	回國	Вернуться домой	Kembali ke rumah	Trở về nhà	กลับบ้าน	帰宅	귀국	العودة إلى المنزل
120502	Text	Bar gathering	Fête	Bar Party	Fiesta	Reunião de Bar	酒吧聚会	酒吧聚會	Бар вечеринка	Pesta bar	Bữa tiệc	งานปาร์ตี้บาร์	バーパーティー	바 파티	حفلة بار
120503	Text	Sports Game	Regarde le jeu	Schau das Spiel	Mira el juego	Jogos de Desporto	看球赛	看球賽	Смотрите игру	Tonton pertandingannya	Xem trò chơi	ดูเกม	ゲームを見てください	게임을보십시오	مشاهدة المباراة
120504	Text	Carnival	Carnaval	Karneval	Carnaval	Carnaval	狂欢节	狂歡節	Карнавал	Karnaval	lễ hội hóa trang	งานรื่นเริง	カーニバル	사육제	كرنفال
120505	Text	Family Gathering	Réunion de famille	Familienversammlung	Reunión familiar	Encontro Familiar	家人聚会	家人聚會	Семейное собрание	Pertemuan keluarga	Sum họp gia đình	รวบรวมครอบครัว	家族の集い	가족 모임	تجمع عائلي
120506	Text	First Time Skiing	Ski	Ski	Esquí	Esquiando pela Primeira Vez	第一次滑雪	第一次滑雪	Лыж	Main ski	Trượt tuyết	สกี	スキー	스키	تزلج
120507	Text	Christmas Party	fête de Noël	Weihnachtsfeier	fiesta de Navidad	Festa de Natal	圣诞节派对	聖誕節派對	Рождественская вечеринка	pesta Natal	tiệc Giáng sinh	ปาร์ตี้คริสต์มาส	クリスマスパーティー	크리스마스 파티	حفلة عيد الميلاد
120601	Text	Streaming	En direct	Live	Vivir	Transmissão	直播出镜	直播出鏡	Жить	Hidup	Sống	สด	ライブ	살다	يعيش
120602	Text	India Trip	Tournée indienne	Indische Tour	Tour indio	Viagem à Índia	印度游	印度遊	Индийский тур	Tur India	Chuyến tham quan Ấn Độ	ทัวร์อินเดีย	インドのツアー	인도 투어	جولة هندية
120603	Text	Streaming at Beach	Broadcast en direct sur la mer	Seaside Live Sendung	Transmisión en vivo de Seaside	Transmissão na Praia	海边直播	海邊直播	Seaside Live трансляция	Siaran langsung Seaside	Phát sóng trực tiếp bên bờ biển	การถ่ายทอดสดริมทะเล	海辺のライブ放送	해변 라이브 방송	البث المباشر على شاطئ البحر
120604	Text	Influencer Gala	Fête des célébrités sur Internet	Internet -Promi -Party	Fiesta de celebridades de Internet	Gala do Influenciador	网红晚会	網紅晚會	Интернет -вечеринка знаменитостей	Pesta Selebriti Internet	Đảng nổi tiếng Internet	ปาร์ตี้คนดังทางอินเทอร์เน็ต	インターネットセレブリティパーティー	인터넷 유명 파티	حفلة المشاهير على الإنترنت
120605	Text	Outdoor Picnic	Pique-nique extérieur	Picknick im Freien	Picnic al aire libre	Piquenique ao Ar Livre	户外野餐	戶外野餐	На открытом воздухе пикник	Piknik luar ruangan	Đi dã ngoại ngoài trời	ปิกนิกกลางแจ้ง	屋外ピクニック	야외 피크닉	نزهة في الهواء الطلق
120606	Text	Dinner Date	Dîner	Abendessen	Cena	Jantar	晚宴约会	晚宴約會	Ужин	Makan malam	Bữa tối	อาหารเย็น	夕食	저녁	عشاء
120607	Text	Overseas Trip	Voyager à l'étranger	Ins Ausland reisen	Viajar al extranjero	Viagem ao Exterior	出国游	出國遊	Путешествие за границу	Bepergian ke luar negeri	Du lịch nước ngoài	เดินทางไปต่างประเทศ	海外旅行	해외 여행	السفر للخارج
120701	Text	Job Interview	entretien d'embauche	Vorstellungsgespräch	entrevista de trabajo	Entrevista de Emprego	工作面试	工作面試	собеседование	wawancara kerja	phỏng vấn xin việc	สัมภาษณ์งาน	就職面接	직업 인터뷰	مقابلة عمل
120702	Text	New Comer	Débutant au travail	Neuling zum Job	Novato al trabajo	Recém-chegado	职场新人	職場新人	Новичок на работе	Pemula di tempat kerja	Newbie cho công việc	มือใหม่ในงาน	仕事への初心者	일에 초보자	مبتدئ في الوظيفة
120703	Text	Weekend Time	Temps de week-end	Wochenendzeit	Hora de fin de semana	Fim de Semana	周末时光	週末時光	Время выходного дня	Waktu akhir pekan	Thời gian cuối tuần	เวลาวันหยุดสุดสัปดาห์	週末の時間	주말 시간	وقت عطلة نهاية الأسبوع
120704	Text	Seaside Travel	Bord de mer	Strand	Playa	Viagens à Beira-mar	海边旅游	海邊旅遊	Приморский	Tepi laut	Bên bờ biển	ริมทะเล	シーサイド	해안	شاطئ البحر
120705	Text	Business Conference	Assister à une réunion d'affaires	Teilnahme an einem Geschäftstreffen	Asistir a una reunión de negocios	Conferência de Negócios	出席商务会议	出席商務會議	Посещение деловой встречи	Menghadiri pertemuan bisnis	Tham dự một cuộc họp kinh doanh	เข้าร่วมการประชุมทางธุรกิจ	ビジネス会議に出席する	비즈니스 회의에 참석합니다	حضور اجتماع عمل
120706	Text	Hang Out	rassemblement d'amis	Freunde versammeln sich	reunion de amigos	Passar Tempo Junto	朋友聚会	朋友聚會	Друзья собираются	teman berkumpul	bạn bè tụ tập	เพื่อนร่วมงาน	友達が集まる	친구 모임	تجمع الأصدقاء
120707	Text	Art Exhibition	Participer à l'exposition	An der Ausstellung teilnehmen	Participar en la exposición	Exibição de Arte	参加画展	參加畫展	Участвовать в выставке	Berpartisipasi dalam pameran	Tham gia triển lãm	เข้าร่วมในนิทรรศการ	展覧会に参加します	전시회에 참여하십시오	المشاركة في المعرض
120801	Text	Bar Singer	Bar	Barsänger	Cantante de bares	Cantora de Bar	酒吧歌手	酒吧歌手	Бар Певец	Penyanyi bar	Singer Bar	นักร้องบาร์	バーシンガー	바 가수	مغني بار
120802	Text	Online Live Broadcast	Diffusion en ligne en ligne	Online -Live -Sendung	Transmisión en vivo en línea	Transmissão ao vivo on-line	线上直播	線上直播	Онлайн -трансляция	Siaran langsung online	Phát sóng trực tuyến	การถ่ายทอดสดออนไลน์	オンラインライブ放送	온라인 라이브 방송	البث المباشر عبر الإنترنت
120803	Text	MV shooting	Participer à la prise de vue MV	Nehmen Sie am MV -Schießen teil	Participe en el tiroteo de MV	Filmagem MV	参与MV拍摄	參與MV拍攝	Участвовать в стрельбе MV	Berpartisipasi dalam pemotretan MV	Tham gia vào vụ nổ súng MV	เข้าร่วมการถ่ายภาพ MV	MV撮影に参加します	MV 촬영에 참여하십시오	المشاركة في إطلاق النار MV
120804	Text	Magazine Interview	Interview avec magazine	Interview mit Magazine	Entrevista con la revista	Revista Entrevista	杂志专访	雜誌專訪	Интервью с журналом	Wawancara dengan Majalah	Phỏng vấn tạp chí	สัมภาษณ์นิตยสาร	雑誌とのインタビュー	잡지와의 인터뷰	مقابلة مع مجلة
120805	Text	New Song Audition	Audition de nouvelles chansons	Neues Lied Vorsprechen	Nueva audición de canciones	Nova Audição de Música	新歌试音	新歌試音	Новая песня прослушивание	Audisi Lagu Baru	Bài hát mới	ออดิชั่นเพลงใหม่	新曲オーディション	새로운 노래 오디션	اختبار الأغنية الجديد
120806	Text	Concert	concert	Konzert	concierto	Concerto	演唱会	演唱會	концерт	konser	buổi hòa nhạc	คอนเสิร์ต	コンサート	콘서트	حفلة موسيقية
120807	Text	Fan Meeting	Assemblée de fans	Fantreffen	Reunión de fan	Encontro de Fãs	粉丝见面会	粉絲見面會	Встреча фанатов	Pertemuan penggemar	Gặp gỡ người hâm mộ	การประชุมแฟน ๆ	ファンミーティング	팬 미팅	لقاء المعجبين
120901	Text	Vampire Prince	Vampire Prince	Vampirprinz	Príncipe vampiro	Príncipe Vampiro	吸血鬼王子	吸血鬼王子	Вампир принц	Pangeran Vampir	Hoàng tử ma cà rồng	เจ้าชายแวมไพร์	ヴァンパイアプリンス	뱀파이어 왕자	أمير مصاصي الدماء
120902	Text	City Nightlife	Vie nocturne urbaine	Urban Nightlife	Vida nocturna urbana	Vida Noturna da Cidade	城市夜生活	城市夜生活	Городская ночная жизнь	Kehidupan malam kota	Cuộc sống về đêm thành thị	สถานบันเทิงยามค่ำคืนในเมือง	アーバンナイトライフ	도시의 나이트 라이프	الحياة الليلية الحضرية
120903	Text	Human Friends	Ami humain	Menschlicher Freund	Amigo humano	Amigos Humanos	人类朋友	人類朋友	Человеческий друг	Teman manusia	Người bạn con người	เพื่อนมนุษย์	人間の友達	인간 친구	صديق بشري
120904	Text	Halloween Party	Fête d'Halloween	Halloween Party	fiesta de Halloween	Festa de Halloween	万圣节晚会	萬聖節晚會	Halloween Party	pesta Halloween	Bữa tiệc Halloween	ปาร์ตี้ฮาโลวีน	ハロウィーンパーティー	할로윈 파티	حفلة الهالوين
120905	Text	Dinner Gala	Assister à un dîner	An einem Abendessen teilnehmen	Asistir a una cena	Jantar de Gala	出席晚宴	出席晚宴	Посещение ужина	Menghadiri makan malam	Tham dự một bữa tối	เข้าร่วมงานเลี้ยงอาหารค่ำ	夕食に参加します	저녁 식사에 참석합니다	حضور العشاء
120906	Text	Family Gathering	Réunion de famille	Familienversammlung	Reunión familiar	Encontro Familiar	家族聚会	家族聚會	Семейное собрание	Pertemuan keluarga	Sum họp gia đình	รวบรวมครอบครัว	家族の集い	가족 모임	تجمع عائلي
120907	Text	Coronation	New Wang Coronation	Neue Wang Krönung	Nueva coronación de Wang	Coroação	新王加冕	新王加冕	Новая коронация Ван	Penobatan Wang Baru	Đăng quang Wang mới	ใหม่วังโคโรเนชั่น	新しい王のcor冠式	새로운 왕 대관식	تتويج وانغ الجديد
121001	Text	Fuggy!	Chien!	Hund!	¡Perro!	Cachorro!	狗狗！	狗狗！	Собака!	Anjing!	Chó!	สุนัข!	犬！	개!	كلب!
121002	Text	Play Together	Jouer ensemble	Zusammen spielen	Jugar juntos	Jogar Juntos	一起玩耍	一起玩耍	Играть вместе	Bermain bersama	Chơi cùng nhau	เล่นด้วยกัน	一緒に遊ぶ	같이 놀다	العبوا سويا
121003	Text	Dog Show	Participer	Teilnehmen	Participar	Exposição Canina	参加犬赛	參加犬賽	Участвовать	Ikut	Tham gia	เข้าร่วม	参加	참가하다	يشارك
121004	Text	Throw Frisbees	Jeter un plateau volant	Werfen	Tirar una bandeja voladora	Atire Frisbees	扔飞盘	扔飛盤	Бросить летающий поднос	Lempar Baki Terbang	Ném một khay bay	โยนถาดบิน	フライングトレイを投げます	날아 다니는 트레이를 던져	رمي صينية الطيران
121005	Text	Rescue a Drowning Person	Sauvetage	Rettung	Rescate	Resgatar uma Pessoa Afogada	营救落水者	營救落水者	Спасать	Menyelamatkan	Giải thoát	กู้ภัย	救援	구조하다	ينقذ
121006	Text	Frisbee Practice	Pratique du plateau volant	Flugverbindungsübungen	Práctica de bandeja voladora	Prática de Frisbee	飞盘练习	飛盤練習	Летающий поднос практика	Latihan Baki Terbang	Thực hành khay bay	การฝึกถาดบิน	フライングトレイの練習	비행 트레이 연습	ممارسة صينية الطيران
121007	Text	Loyal Partner	Partenaire fidèle	Loyal Partner	Socio leal	Parceiro Leal	忠诚的伙伴	忠誠的伙伴	Лояльный партнер	Mitra setia	Đối tác trung thành	พันธมิตรที่ภักดี	忠実なパートナー	충성스러운 파트너	شريك مخلص
130101	Text	Floor	sol	Boden	piso	Piso	地板	地板	пол	lantai	sàn nhà	พื้น	床	바닥	أرضية
130102	Text	Wall	mur	Wand	muro	Mural	墙壁	牆壁	стена	dinding	tường	กำแพง	壁	벽	حائط
130103	Text	Wardrobe	Garde-robe	Kleiderschrank	Armario	Guarda-roupa	衣柜	衣櫃	Гардероб	Pakaian	Tủ quần áo	ตู้เสื้อผ้า	ワードローブ	옷장	خزانة الملابس
130104	Text	Mirror	Miroir de vinaigrette	Spiegel Dressing	Espejo de vestir	Espelho	梳妆镜	梳妝鏡	Земное зеркало	Cermin Dress	Gương thay đồ	กระจกแต่งตัว	ドレッシングミラー	드레싱 거울	مرآة الملابس
130105	Text	Curtain	rideau	Vorhang	cortina	Cortina	窗帘	窗簾	занавес	tirai	tấm màn	ม่าน	カーテン	커튼	ستارة
130106	Text	Makeup chair	Chaise de maquillage	Make -up -Stuhl	Silla de maquillaje	Cadeira de maquiagem	化妆椅	化妝椅	Стул для макияжа	Kursi Makeup	Ghế trang điểm	เก้าอี้แต่งหน้า	メイクアップチェア	메이크업 의자	كرسي الماكياج
130107	Text	Table	tableau	Tisch	mesa	mesa	桌子	桌子	стол	meja	bàn	โต๊ะ	テーブル	테이블	طاولة
130108	Text	Chair	Chaise	Stuhl	Silla	Cadeira	椅子	椅子	Стул	Kursi	Cái ghế	เก้าอี้	椅子	의자	كرسي
130109	Text	Lamp	Lampadaire	Feuerlampe	Lámpara de fuego	Lâmpada	射灯	射燈	Пожарная лампа	Lampu api	Đèn lửa	โคมไฟดับเพลิง	ファイヤーランプ	불 램프	مصباح النار
130110	Text	Stage	Plate-forme humaine	Menschliche Plattform	Plataforma humana	Estágio	人台	人台	Человеческая платформа	Platform manusia	Nền tảng con người	แพลตฟอร์มมนุษย์	人間のプラットフォーム	인간 플랫폼	منصة الإنسان
130201	Text	Floor	sol	Boden	piso	Piso	地板	地板	пол	lantai	sàn nhà	พื้น	床	바닥	أرضية
130202	Text	Wall	mur	Wand	muro	Mural	墙壁	牆壁	стена	dinding	tường	กำแพง	壁	벽	حائط
130203	Text	Wardrobe	Garde-robe	Kleiderschrank	Armario	Guarda-roupa	衣柜	衣櫃	Гардероб	Pakaian	Tủ quần áo	ตู้เสื้อผ้า	ワードローブ	옷장	خزانة الملابس
130204	Text	Mirror	Miroir de vinaigrette	Spiegel Dressing	Espejo de vestir	Espelho	梳妆镜	梳妝鏡	Земное зеркало	Cermin Dress	Gương thay đồ	กระจกแต่งตัว	ドレッシングミラー	드레싱 거울	مرآة الملابس
130205	Text	Curtain	rideau	Vorhang	cortina	Cortina	窗帘	窗簾	занавес	tirai	tấm màn	ม่าน	カーテン	커튼	ستارة
130206	Text	Makeup chair	Chaise de maquillage	Make -up -Stuhl	Silla de maquillaje	Cadeira de maquiagem	化妆椅	化妝椅	Стул для макияжа	Kursi Makeup	Ghế trang điểm	เก้าอี้แต่งหน้า	メイクアップチェア	메이크업 의자	كرسي الماكياج
130207	Text	Table	tableau	Tisch	mesa	mesa	桌子	桌子	стол	meja	bàn	โต๊ะ	テーブル	테이블	طاولة
130208	Text	Chair	Chaise	Stuhl	Silla	Cadeira	椅子	椅子	Стул	Kursi	Cái ghế	เก้าอี้	椅子	의자	كرسي
130209	Text	Lamp	Lampadaire	Feuerlampe	Lámpara de fuego	Lâmpada	射灯	射燈	Пожарная лампа	Lampu api	Đèn lửa	โคมไฟดับเพลิง	ファイヤーランプ	불 램프	مصباح النار
130210	Text	Stage	Plate-forme humaine	Menschliche Plattform	Plataforma humana	Estágio	人台	人台	SCARL	Platform manusia	Nền tảng con người	แพลตฟอร์มมนุษย์	人間のプラットフォーム	인간 플랫폼	منصة الإنسان
140001	Text	Complete {0} and unlock it after dressing.	Terminez {0} et déverrouillez-le après s'habiller.	Vervollständigen Sie {0} und entsperren Sie es nach dem Anziehen.	Completa {0} y desbloquea después de vestirse.	Complete {0} e desbloqueie -o após o vestuário.	完成{0}装扮后解锁。	完成{0}裝扮後解鎖。	AUG	Lengkapi {0} dan buka kunci setelah berpakaian.	Hoàn thành {0} và mở khóa sau khi mặc quần áo.	เสร็จสมบูรณ์ {0} และปลดล็อกหลังจากแต่งตัว	{0}を完了し、ドレッシング後にロックを解除します。	{0}를 완료하고 드레싱 후 잠금을 해제하십시오.	أكمل {0} وفتحه بعد ارتداء الملابس.
140002	Text	Get banknotes	Obtenir des billets	Holen Sie sich Banknoten	Obtener billetes	Obtenha notas	获得钞票	獲得鈔票	Получите банкноты	Dapatkan uang kertas	Nhận tiền giấy	รับธนบัตร	紙幣を取得します	지폐를 얻으십시오	احصل على الأوراق النقدية
140003	Text	Watch videos to get cash!	Regardez la vidéo pour obtenir des billets!	Sehen Sie sich das Video an, um Banknoten zu erhalten!	¡Mira el video para obtener billetes!	Assista aos vídeos para obter dinheiro!	观看视频可以获取钞票！	觀看視頻可以獲取鈔票！	Посмотрите видео, чтобы получить банкноты!	Tonton videonya untuk mendapatkan uang kertas!	Xem video để nhận tiền giấy!	ดูวิดีโอเพื่อรับธนบัตร!	紙幣を入手するためにビデオを見てください！	지폐를 얻으려면 비디오를 시청하십시오!	شاهد الفيديو للحصول على الأوراق النقدية!
140004	Text	Claim	Recevoir	Erhalten	Recibir	Receber	领取	領取	получать	Menerima	Nhận được	รับ	受け取る	받다	يستلم
140005	Text	Room	Chambre	Zimmer	Habitación	Sala	房间	房間	Комната	Ruang	Phòng	ห้อง	部屋	방	غرفة
140006	Text	Story	histoire	Geschichte	historia	História	故事	故事	история	cerita	câu chuyện	เรื่องราว	話	이야기	قصة
140007	Text	Tools	outil	Werkzeug	herramienta	Ferramentas	工具	工具	инструмент	alat	dụng cụ	เครื่องมือ	道具	도구	أداة
140008	Text	Start	Démarrer jeu	Spiel beginnen	Empezar juego	Começar	开始游戏	開始遊戲	Начать игру	Memulai permainan	Bắt đầu trò chơi	เริ่มเกมส์	ゲームをスタート	게임을 시작하다	بدء اللعبة
140009	Text	Level	Niveau	Eben	Nivel	Nível	关卡	關卡	Уровень	Tingkat	Mức độ	ระดับ	レベル	수준	مستوى
140010	Text	Settings	installation	aufstellen	configuración	Configurações	设置	設置	настраивать	mempersiapkan	cài đặt	ติดตั้ง	設定	설정	يثبت
140011	Text	Sound	son	Klang	sonido	Som	声音	聲音	звук	suara	âm thanh	เสียง	音	소리	صوت
140012	Text	Vibration	vibration	Vibration	vibración	Vibração	振动	振動	вибрация	getaran	rung động	การสั่นสะเทือน	振動	진동	اهتزاز
140013	Text	Feedback	retour	Rückmeldung	comentario	Feedback	问题反馈	問題反饋	обратная связь	masukan	nhận xét	ข้อเสนอแนะ	フィードバック	피드백	تعليق
140014	Text	Type	Catégorie	Kategorie	Categoría	Tipo	意见类别	意見類別	Категория	Kategori	Loại	หมวดหมู่	カテゴリー	범주	فئة
140015	Text	Optimization	Améliorer	Verbessern	Mejorar	Otimização	改进	改進	Улучшать	Memperbaiki	Cải thiện	ทำให้ดีขึ้น	向上	개선하다	يحسن
140016	Text	Report	plainte	Beschwerde	queja	Relatório	投诉	投訴	жалоба	keluhan	lời phàn nàn	ร้องเรียน	苦情	불평	شكوى
140017	Text	Complain	Faire des plaintes	Beschwerden machen	Hacer quejas	Reclamação	吐槽	吐槽	Подавать жалобы	Membuat keluhan	Khiếu nại	ร้องเรียน	苦情を申し立てます	불만을 제기하십시오	تقديم شكاوى
140018	Text	Bug	Bogue	Insekt	Bicho	Bug	BUG	BUG	Ошибка	Serangga	Sâu bọ	ข้อผิดพลาด	バグ	벌레	حشرة
140019	Text	Tap to enter your feedback	Cliquez pour remplir les détails	Klicken Sie hier, um die Details auszufüllen	Haga clic para completar los detalles	Toque para inserir seu feedback	点击填写详细内容	點擊填寫詳細內容	Нажмите, чтобы заполнить детали	Klik untuk mengisi detailnya	Bấm để điền vào các chi tiết	คลิกเพื่อกรอกรายละเอียด	クリックして詳細を入力します	세부 사항을 작성하려면 클릭하십시오	انقر لملء التفاصيل
140020	Text	Contact Information(optional)	Coordonnées (sélectionnées)	Kontaktinformationen (ausgewählt)	Información de contacto (seleccionada)	Informações de contato(opcional)	联系方式（选填）	聯繫方式（選填）	Контактная информация (выбранная)	Informasi kontak (dipilih)	Thông tin liên hệ (đã chọn)	ข้อมูลติดต่อ (เลือก)	連絡先情報（選択）	연락처 정보 (선택)	معلومات الاتصال (محددة)
140021	Text	Facebook	Facebook	Facebook	Facebook	Facebook	Facebook	Facebook	Facebook	Facebook	Facebook	Facebook	フェイスブック	페이스 북	فيسبوك
140022	Text	E-mail	E-mail	Email	Correo electrónico	E-mail	E-mail	E-mail	Электронная почта	Surel	E-mail	อีเมล	Eメール	이메일	بريد إلكتروني
